Country Name,Country Code,Series Name,Series Code,1996 [YR1996],1998 [YR1998],2000 [YR2000],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,9.042553,6.914894,8.994709,17.98942,29.14573,26.21359,33.98058,42.02898,37.19807,47.11538,47.39336,51.65877,48.81517,43.60189,45.49763,45.71429,40.47619,48.09524,45.71429,47.64151,46.22641,41.98113
Angola,AGO,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.342809,0.3161064,0.2924749,0.2872855,0.2874605,0.2741809,0.2675352,0.2715997,0.2523852,0.2435471,0.2442496,0.2330371,0.2315082,0.2001131,0.2105385,0.2161667,0.2181488,0.2193742,0.2182957,0.2248572
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.7888739,1.193962,1.107798,1.086767,1.116136,0.8700855,1.373762,1.550928,1.47692,1.53398,1.164255,1.249272,1.315344,1.389452,1.287406,1.355694,1.540881
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,..,..,..,..,..,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,74.27184,90.29126,89.37198,89.37198,89.42308,78.67299,95.7346,99.52607,99.52607,99.52607,91.90476,94.7619,95.2381,96.66666,94.81132,96.22642,98.58491
Anguilla,AIA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,..,..,..,..,..,48.54369,65.04855,60.86956,63.28502,65.38461,53.08057,73.45972,81.99052,81.99052,81.99052,70,71.90476,74.28571,80,72.64151,75.47169,84.43396
Anguilla,AIA,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,..,..,..,..,..,98.54369,100,100,100,100,98.10426,100,100,100,100,99.52381,99.52381,99.52381,99.52381,99.52831,99.52831,100
Anguilla,AIA,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,..,..,..,..,..,0.4263886,0.3702046,0.3637845,0.3310883,0.3330689,0.3493391,0.349874,0.3359819,0.301696,0.3247028,0.259939,0.274313,0.2761247,0.2887329,0.2805832,0.3139291,0.3178318
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.7184954,0.7300959,0.7141891,0.792757,0.8655943,1.08571,0.8303484,0.7995317,0.8022588,0.8139328,0.7213244,0.9049994,0.9575883,0.9757881,0.9588634,0.9845507,1.004725,0.8786072,0.748045,0.8408569,0.9535552,0.9338933
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,1,1,1,1,2,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,70.74468,72.34042,72.48677,73.01588,74.87437,84.46602,73.30097,71.98067,75.84541,75,71.56398,79.14692,79.62085,80.56872,79.62085,81.42857,86.19048,75.71429,71.42857,74.0566,81.60378,80.18868
Antigua and Barbuda,ATG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,37.23404,35.6383,35.44973,44.97355,54.27136,63.1068,55.33981,53.62319,53.62319,55.28846,51.18483,57.8199,62.08531,63.03318,62.55924,65.71429,65.2381,61.90476,58.57143,60.37736,60.84906,60.84906
Antigua and Barbuda,ATG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100,100,98.9418,99.4709,96.98492,100,95.63107,96.13527,96.61835,96.15385,92.891,97.15639,98.10426,98.5782,98.10426,97.14286,97.61905,94.28571,90.47619,93.39622,96.22642,96.69811
Antigua and Barbuda,ATG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.6135068,0.5757331,0.5970712,0.520825,0.3504379,0.3313479,0.3338709,0.3326429,0.3081072,0.3107432,0.3246365,0.3200873,0.3066951,0.2827465,0.2972529,0.2380577,0.2459499,0.2480269,0.2581048,0.2541233,0.2784955,0.2812695
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,0.1129859,-0.1319699,0.0993588,-0.7794154,-0.3589412,-0.6099557,-0.0417681,0.0030557,0.0988585,-0.0852222,-0.2324056,-0.0847979,0.1589937,0.1030405,0.0653143,-0.0051219,0.0147854,0.2046255,0.1695043,0.0108914,-0.0914442,0.0364368
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,5,6,6,7,7,8,8,8,8,8,9,9,9,9,9,9,9,9,8,7
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,51.06383,39.3617,50.79365,22.22222,35.17588,26.21359,44.17476,45.89372,46.85991,40.86538,36.96682,42.65403,52.1327,49.2891,48.34123,45.71429,46.19048,52.85714,53.33333,47.16981,43.86792,48.58491
Argentina,ARG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,28.7234,22.87234,31.74603,14.28571,23.11558,16.01942,31.5534,31.40097,34.78261,29.32692,24.64455,28.90995,39.33649,37.91469,36.49289,34.76191,34.76191,40.47619,39.04762,35.37736,28.30189,34.43396
Argentina,ARG,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,71.2766,62.76596,69.84127,32.80423,47.23618,39.80582,57.76699,57.97102,61.83575,55.28846,50.7109,54.50237,63.50711,61.61137,61.13744,58.09524,57.61905,64.28571,63.80952,57.54717,56.60378,58.96227
Argentina,ARG,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.3135704,0.2861308,0.2832122,0.2793393,0.2706144,0.2459985,0.2391296,0.241629,0.2418599,0.2393309,0.2385224,0.2196655,0.2257874,0.1922474,0.1981644,0.2049565,0.2117226,0.2110903,0.2271502,0.2323598
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.3646759,-0.6603959,-0.6835883,-0.2574752,0.2371981,-0.1168629,-0.067535,-0.2627405,0.150446,-0.0093653,0.2277748,0.0718553,-0.063869,0.154795,0.1103851,-0.2971358,-0.2523326,-0.6622638,-0.6207712,-0.4449081,-0.4134244,-0.5712944
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,2,3,3,3,3,4,5,6,6,6,6,6,6,7,7,7,7,7,7,7,6,5
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,34.04255,25,25.92593,37.56614,51.75879,40.7767,42.71844,37.68116,47.82609,44.23077,52.60664,49.76303,44.07583,51.18483,50.23697,35.71429,37.14286,22.38095,25.23809,29.24528,30.18868,25.9434
Armenia,ARM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,13.29787,11.17021,11.11111,20.10582,36.1809,25.24272,28.64078,25.12077,34.78261,29.80769,37.91469,33.17535,30.33175,39.33649,36.49289,24.28572,25.71428,13.80952,13.80952,18.39623,18.86792,15.09434
Armenia,ARM,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,60.10638,43.61702,42.85714,60.31746,71.8593,60.19418,58.73787,51.69082,66.18358,58.17308,69.19431,62.55924,58.76777,63.03318,63.03318,47.14286,50,33.33333,36.19048,43.39622,45.75472,41.98113
Armenia,ARM,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4753152,0.381321,0.397162,0.3945794,0.3311687,0.3166145,0.3011172,0.2741809,0.2626058,0.2640872,0.2652642,0.2604739,0.2549193,0.2268074,0.2315082,0.2001131,0.2068148,0.2126011,0.2212777,0.2202831,0.2385149,0.2437513
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,..,..,..,..,..,0.9938546,1.379847,1.305753,1.287163,1.319141,1.122499,1.100847,1.285738,1.263882,1.312226,1.164568,1.230921,1.284199,1.335038,1.356553,1.349796,1.384053
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,..,..,..,..,..,1,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,..,..,..,..,..,80.58253,96.11651,96.13527,96.61835,96.15385,88.6256,88.15166,93.83886,93.36493,94.78673,92.38095,93.33334,94.28571,95.71429,95.75471,95.75471,96.22642
Aruba,ABW,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,..,..,..,..,..,54.85437,68.93204,68.11594,71.0145,72.11539,67.29858,66.35071,70.61611,72.98578,73.45972,72.38095,72.38095,75.71429,80,81.60378,78.30189,81.13207
Aruba,ABW,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,..,..,..,..,..,100,100,100,100,100,100,99.52607,99.52607,99.52607,99.52607,99.52381,99.52381,99.52381,99.52381,99.52831,99.52831,99.52831
Aruba,ABW,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,..,..,..,..,..,0.4263886,0.3702046,0.3637845,0.3310883,0.3330689,0.3117616,0.301821,0.2941373,0.2679919,0.2793652,0.2356506,0.2411634,0.2443292,0.2548839,0.2518363,0.2713899,0.2717306
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.396474,1.06588,1.334552,1.192911,0.8788021,0.9365029,0.8935112,0.9351878,0.9287898,0.9556448,0.855689,0.8888599,0.9357101,0.9979972,1.031073,1.032192,0.8849798,1.047958,0.8960608,0.989604,0.9117457,0.8487522
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,5,6,6,7,7,7,7,7,8,8,9,9,9,9,9,9,10,10,9,8
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,96.2766,82.97872,93.1217,89.41799,75.87939,78.64078,76.21359,78.74397,78.74397,80.28846,76.77725,78.19905,74.88152,82.46445,83.41232,85.2381,75.71429,89.04762,79.52381,85.37736,78.77358,73.1132
Australia,AUS,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,72.87234,63.29787,75.13228,70.37037,59.29648,62.13592,60.67961,60.86956,61.83575,63.46154,61.61137,62.55924,63.50711,67.29858,66.82465,69.52381,62.85714,70.95238,65.2381,66.50944,65.09434,61.79245
Australia,AUS,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100,100,100,99.4709,96.48241,97.57281,95.63107,98.55073,98.55073,99.03846,92.891,93.83886,96.20853,96.20853,98.10426,97.14286,92.85714,96.19048,92.85714,94.81132,93.39622,93.39622
Australia,AUS,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.3135704,0.2861308,0.2832122,0.2793393,0.2706144,0.2651961,0.2563525,0.2582347,0.2418599,0.2393309,0.2385224,0.2196655,0.2257874,0.1922474,0.1981644,0.2049565,0.2062744,0.20703,0.2094824,0.2158216
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.410498,1.111129,0.8238267,1.362206,0.9633993,1.090582,1.105386,1.075933,1.283752,1.339206,1.190602,1.152648,1.193522,1.340567,1.364101,1.2707,1.143079,0.9096388,1.046833,0.902334,0.9167479,0.851911
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,4,4,5,6,6,7,7,7,7,7,8,8,9,9,9,9,9,9,9,9,8,7
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,96.80851,88.29787,76.19048,94.70899,80.40201,84.95145,86.40777,86.47343,96.13527,98.55769,90.99526,89.09953,91.46919,96.20853,96.20853,95.2381,90.47619,77.14286,86.66666,79.71698,79.71698,74.52831
Austria,AUT,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,72.87234,65.42553,59.25926,77.24868,63.31658,66.50485,66.01942,65.21739,77.29469,78.36539,73.45972,71.56398,70.61611,81.51659,81.99052,78.57143,72.38095,65.2381,70,64.15094,63.20755,60.37736
Austria,AUT,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,100,100,93.1217,100,96.98492,99.51456,99.51456,100,100,100,100,99.52607,99.52607,99.52607,99.52607,99.52381,98.57143,93.33334,96.66666,92.92453,93.86793,93.39622
Austria,AUT,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.3738571,0.3454628,0.3135704,0.2861308,0.2832122,0.2793393,0.2706144,0.2651961,0.2563525,0.2582347,0.2418599,0.2393309,0.2385224,0.2196655,0.2257874,0.1922474,0.1981644,0.2049565,0.2117226,0.2110903,0.2271502,0.2323598
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,-0.8276529,-0.7009264,-0.8301941,-1.193173,-0.9486656,-1.061107,-1.127512,-1.094162,-0.6255671,-0.3334748,-0.2759402,-0.2385469,-0.532136,-0.7157518,-0.4128599,-0.5599095,-0.7295656,-0.8038791,-0.7479199,-0.7067598,-0.6859124,-0.7252154
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3,4,4,4,4,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,6,5
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,21.2766,22.87234,20.10582,16.40212,21.10553,16.99029,16.99029,16.42512,25.60386,32.69231,35.54502,36.49289,29.85782,23.22275,33.64929,26.19048,21.90476,18.57143,19.52381,20.75472,23.11321,21.69811
Azerbaijan,AZE,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,9.042553,11.17021,10.58201,4.761905,9.547739,6.796116,6.310679,8.212561,16.42512,19.71154,22.74882,25.59242,19.43128,15.63981,20.37915,16.66667,12.85714,10.95238,11.90476,12.73585,12.73585,12.73585
Azerbaijan,AZE,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Upper Bound of 90% Confidence Interval",PV.PER.RNK.UPPER,42.02128,38.82979,35.44973,26.45503,30.15075,26.21359,25.72816,26.08696,37.68116,47.59615,48.81517,51.65877,41.23223,36.96682,45.49763,36.66667,32.38095,28.09524,30,34.43396,34.90566,35.37736
Azerbaijan,AZE,Political Stability and Absence of Violence/Terrorism: Standard Error,PV.STD.ERR,0.4095134,0.3454628,0.342809,0.3161064,0.3020468,0.2934836,0.2786692,0.2741809,0.2626058,0.2640872,0.246402,0.2435471,0.2442496,0.2268074,0.2315082,0.2001131,0.2068148,0.2126011,0.2212777,0.2202831,0.2385149,0.2437513
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST,1.070221,1.086337,1.280098,0.9565003,0.8269992,0.8910711,0.9386368,0.8106488,0.7300045,0.7748387,0.8605515,0.9936922,1.103621,1.184026,1.134825,0.9564701,0.9074765,0.9754187,0.9895855,0.8628951,0.8162377,0.849964
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Number of Sources,PV.NO.SRC,3,3,3,3,3,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6
"Bahamas, The",BHS,Political Stability and Absence of Violence/Terrorism: Percentile Rank,PV.PER.RNK,85.6383,85.10638,91.00529,82.53968,72.36181,77.18446,78.15534,72.46377,71.0145,72.59615,77.72512,83.88625,88.15166,90.52132,90.52132,79.04762,77.14286,80.95238,82.85714,77.83018,75.47169,73.58491
"Bahamas, The",BHS,"Political Stability and Absence of Violence/Terrorism: Percentile Rank, Lower Bound of 90% Confidence Interval",PV.PER.RNK.LOWER,59.57447,63.29787,69.84127,56.61376,54.27136,58.73787,58.73787,54.10628,52.17391,55.28846,60.66351,64.45498,68.72038,72.51185,67.77251,66.66666,62.85714,66.19048,67.14286,63.20755,59.43396,59.90566
